Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
139,Divin Mubama,engENG,FW,Manchester City,20-190,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
140,Djed Spence,engENG,DF,Tottenham,24-267,2000.0,16.8,26,1.55,20,1,4,1,0,0,5,0.3,3,1,1,0,0,0,Matches
141,Dominic Calvert-Lewin,engENG,FW,Everton,28-048,1997.0,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches
142,Dominic Solanke,engENG,FW,Tottenham,27-231,1997.0,23.5,37,1.57,25,0,0,9,2,1,8,0.34,6,0,0,1,1,0,Matches
143,Dominik Szoboszlai,huHUN,MF,Liverpool,24-190,2000.0,25.1,108,4.31,84,5,4,12,2,1,14,0.56,11,0,0,3,0,0,Matches
144,Donyell Malen,nlNED,FW,Aston Villa,26-114,1999.0,3.0,4,1.31,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
145,Dwight McNeil,engENG,"MF,FW",Everton,25-162,1999.0,13.2,62,4.71,35,18,4,2,2,1,7,0.53,4,1,1,0,0,1,Matches
146,Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-308,1998.0,26.0,119,4.58,62,24,11,12,9,1,9,0.35,8,1,0,0,0,0,Matches
147,Eddie Nketiah,engENG,"FW,MF",Crystal Palace,25-338,1999.0,9.8,26,2.66,17,0,3,2,4,0,2,0.2,1,0,0,0,1,0,Matches
148,Ederson,brBRA,GK,Manchester City,31-259,1993.0,22.8,6,0.26,6,0,0,0,0,0,4,0.18,4,0,0,0,0,0,Matches
149,Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-360,2001.0,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0,Matches
150,Edson Álvarez,mxMEX,MF,West Ham,27-191,1997.0,18.1,25,1.38,21,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches
151,Eiran Cashin,ieIRL,DF,Brighton,23-175,2001.0,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
152,Elliot Anderson,engENG,MF,Nott'ham Forest,22-178,2002.0,26.4,76,2.88,37,18,7,6,3,5,10,0.38,4,3,0,1,1,1,Matches
153,Emerson Palmieri,itITA,DF,West Ham,30-273,1994.0,22.4,41,1.83,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0,Matches
154,Emi Buendía,arARG,"MF,FW",Aston Villa,28-129,1996.0,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
155,Emil Krafth,seSWE,DF,Newcastle Utd,30-274,1994.0,3.2,3,0.94,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
156,Emile Smith Rowe,engENG,MF,Fulham,24-279,2000.0,20.6,65,3.16,50,0,3,7,2,3,11,0.53,9,0,1,0,0,1,Matches
157,Emiliano Martínez,arARG,GK,Aston Villa,32-243,1992.0,32.0,6,0.19,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
158,Emmanuel Agbadou,ciCIV,DF,Wolves,27-320,1997.0,12.7,15,1.18,14,1,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
159,Enes Ünal,trTUR,"FW,MF",Bournemouth,27-358,1997.0,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0,Matches
160,Enzo Fernández,arARG,MF,Chelsea,24-106,2001.0,28.8,137,4.76,107,15,2,4,4,5,16,0.56,13,2,0,1,0,0,Matches
161,Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,19-000,2006.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
162,Erling Haaland,noNOR,FW,Manchester City,24-286,2000.0,27.6,62,2.25,43,0,8,10,1,0,9,0.33,6,0,2,1,0,0,Matches
163,Ethan Nwaneri,engENG,"FW,MF",Arsenal,18-043,2007.0,9.1,22,2.42,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0,Matches
164,Ethan Pinnock,jmJAM,DF,Brentford,31-339,1993.0,21.3,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
165,Evan Ferguson,ieIRL,FW,Brighton,20-196,2004.0,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
166,Evan Ferguson,ieIRL,FW,West Ham,20-196,2004.0,1.6,4,2.48,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
167,Evanilson,brBRA,FW,Bournemouth,25-209,1999.0,21.9,56,2.56,35,0,3,9,9,0,8,0.37,2,0,1,1,4,0,Matches
168,Ezri Konsa,engENG,DF,Aston Villa,27-192,1997.0,28.6,23,0.8,18,2,1,2,0,0,3,0.1,3,0,0,0,0,0,Matches
