Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
109,Conor Townsend,engENG,DF,Ipswich Town,32-060,1993.0,3.7,0,1,0,0.0,0.27,0.0,0.0,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
110,Craig Dawson,engENG,DF,Wolves,34-362,1990.0,10.8,0,5,1,20.0,0.46,0.09,0.0,0.0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
111,Cristian Romero,arARG,DF,Tottenham,27-006,1998.0,15.7,1,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Matches
112,Crysencio Summerville,nlNED,"FW,MF",West Ham,23-185,2001.0,8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
113,Curtis Jones,engENG,"MF,DF",Liverpool,24-093,2001.0,16.0,3,31,12,38.7,1.94,0.75,0.1,0.25,16.9,0,0,0,4.1,4.1,0.13,-1.1,-1.1,Matches
114,Daichi Kamada,jpJPN,MF,Crystal Palace,28-271,1996.0,14.9,0,17,4,23.5,1.14,0.27,0.0,0.0,19.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
115,Dan Burn,engENG,DF,Newcastle Utd,32-359,1992.0,33.0,1,20,5,25.0,0.61,0.15,0.05,0.2,9.9,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
116,Dane Scarlett,engENG,"FW,MF",Tottenham,21-040,2004.0,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
117,Dango Ouattara,bfBFA,FW,Bournemouth,23-081,2002.0,21.5,7,62,20,32.3,2.89,0.93,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4,Matches
118,Daniel Bentley,engENG,GK,Wolves,31-294,1993.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Daniel Jebbison,engENG,FW,Bournemouth,21-263,2003.0,0.8,0,2,1,50.0,2.37,1.18,0.0,0.0,12.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
120,Daniel Muñoz,coCOL,DF,Crystal Palace,28-342,1996.0,31.9,4,32,12,37.5,1.0,0.38,0.13,0.33,12.3,0,0,0,4.6,4.6,0.14,-0.6,-0.6,Matches
121,Daniel Podence,ptPOR,"MF,FW",Wolves,29-194,1995.0,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
122,Danilo,brBRA,"MF,FW",Nott'ham Forest,24-004,2001.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,Danny Ings,engENG,"FW,MF",West Ham,32-284,1992.0,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
