Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
155,Emil Krafth,seSWE,DF,Newcastle Utd,30-274,1994.0,3.2,0,0,0,3,1,0,1,2,2,0,0,0,17,5,5,50.0,Matches
156,Emile Smith Rowe,engENG,MF,Fulham,24-279,2000.0,20.6,2,0,0,17,12,4,13,11,17,0,0,0,69,6,17,26.1,Matches
157,Emiliano Martínez,arARG,GK,Aston Villa,32-243,1992.0,32.0,4,0,0,1,5,0,0,0,3,0,0,0,28,8,1,88.9,Matches
158,Emmanuel Agbadou,ciCIV,DF,Wolves,27-320,1997.0,12.7,2,0,0,5,4,1,1,9,18,0,0,0,66,22,16,57.9,Matches
159,Enes Ünal,trTUR,"FW,MF",Bournemouth,27-358,1997.0,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
160,Enzo Fernández,arARG,MF,Chelsea,24-106,2001.0,28.8,7,0,0,45,47,1,103,11,30,0,0,0,141,13,27,32.5,Matches
161,Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,19-000,2006.0,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,,Matches
162,Erling Haaland,noNOR,FW,Manchester City,24-286,2000.0,27.6,2,0,0,22,12,4,3,5,5,0,0,0,29,49,45,52.1,Matches
163,Ethan Nwaneri,engENG,"FW,MF",Arsenal,18-043,2007.0,9.1,1,0,0,7,5,6,51,2,7,0,0,0,33,3,7,30.0,Matches
164,Ethan Pinnock,jmJAM,DF,Brentford,31-339,1993.0,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4,Matches
165,Evan Ferguson,ieIRL,FW,Brighton,20-196,2004.0,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8,Matches
166,Evan Ferguson,ieIRL,FW,West Ham,20-196,2004.0,1.6,0,0,0,1,2,0,0,1,0,0,0,0,8,5,8,38.5,Matches
167,Evanilson,brBRA,FW,Bournemouth,25-209,1999.0,21.9,0,1,0,31,43,17,0,0,9,5,0,0,56,38,56,40.4,Matches
168,Ezri Konsa,engENG,DF,Aston Villa,27-192,1997.0,28.6,0,0,0,6,42,0,5,21,17,0,0,0,86,27,21,56.3,Matches
169,Fabian Schär,chSUI,DF,Newcastle Utd,33-134,1991.0,28.6,7,1,0,31,12,4,9,40,19,0,0,0,123,40,61,39.6,Matches
170,Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-246,2002.0,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,Matches
171,Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-131,2004.0,16.4,7,0,0,35,33,3,41,11,32,0,0,0,77,17,35,32.7,Matches
172,Federico Chiesa,itITA,FW,Liverpool,27-190,1997.0,0.4,0,0,0,2,1,0,2,0,0,0,0,0,4,0,0,,Matches
173,Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-208,1999.0,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Matches
174,Filip Jørgensen,dkDEN,GK,Chelsea,23-017,2002.0,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,Matches
