STT,Player,Age,Squad,ETV
468,Cameron Burgess,29,Ipswich Town,€1.7M
469,Alex Palmer,28,Ipswich Town,€1.6M
470,Neto,35,Arsenal,€1.6M
471,Kortney Hause,29,Aston Villa,€1.5M
472,Daniel Bentley,31,Wolves,€1.5M
473,Adam Smith,34,Bournemouth,€1.5M
474,Craig Dawson,34,Wolves,€1.5M
475,Jason Steele,34,Brighton,€1.5M
476,Kasey McAteer,23,Leicester City,€1.5M
477,Tom Cairney,34,Fulham,€1.5M
478,Malcolm Ebiowei,21,Crystal Palace,€1.5M
479,Christian Walton,29,Ipswich Town,€1.4M
480,Jack Stephens,31,Southampton,€1.4M
481,Willy Boly,34,Nott'ham Forest,€1.4M
482,Omari Kellyman,19,Chelsea,€1.4M
483,Ashley Young,39,Everton,€1.3M
484,Sam Morsy,33,Ipswich Town,€1.3M
485,Willian,36,Fulham,€1.3M
486,Wesley Foderingham,34,West Ham,€1.3M
487,Martin Dúbravka,36,Newcastle Utd,€1.3M
488,Conor Townsend,32,Ipswich Town,€1.2M
489,Will Dennis,24,Bournemouth,€1.2M
490,Cieran Slicker,22,Ipswich Town,€1.2M
491,James Milner,39,Brighton,€1.2M
492,Jonny Evans,37,Manchester Utd,€1.1M
493,Nathaniel Clyne,34,Crystal Palace,€1M
494,Steven Benda,26,Fulham,€1M
495,Kim Ji-Soo,20,Brentford,€1M
496,Marcus Bettinelli,32,Chelsea,€1M
497,Jamie Vardy,38,Leicester City,€1M
498,Michail Antonio,35,West Ham,€1.0M
499,Robin Olsen,35,Aston Villa,€0.9M
500,Ben Mee,35,Brentford,€0.9M
501,Danny Ward,31,Leicester City,€0.9M
502,Kaden Rodney,20,Crystal Palace,€0.9M
503,Adam Lallana,36,Southampton,€0.9M
504,Łukasz Fabiański,40,West Ham,€0.9M
505,Asmir Begović,37,Everton,€0.8M
506,Aaron Cresswell,35,West Ham,€0.8M
507,Edmond-Paris Maghoma,23,Brentford,€0.8M
508,Brandon Austin,26,Tottenham,€0.8M
509,Joe Lumley,30,Southampton,€0.7M
510,John Ruddy,38,Newcastle Utd,€0.7M
511,Séamus Coleman,36,Everton,€0.7M
512,Harry Amass,18,Manchester Utd,€0.7M
513,Jakub Stolarczyk,24,Leicester City,€0.7M
514,Fraser Forster,37,Tottenham,€0.7M
515,Joel Ward,35,Crystal Palace,€0.7M
